resume_id,job_id,skill_score,education_score,experience_score,city_score,salary_score,certificate_score,matched_skills,missing_skills
R001,J001,75.0,100,100,100,100.0,100.0,python;sql;数据分析,excel
R001,J002,50.0,100,100,100,100.0,100.0,sql;spark,hadoop;java
R001,J003,50.0,100,50,0,100.0,100.0,python;sql,linux;django
R001,J004,25.0,50,100,0,100.0,0.0,python,机器学习;tensorflow;深度学习
R001,J005,25.0,100,0,0,100.0,100.0,sql,redis;java;spring boot
R001,J006,60.0,100,50,0,100.0,100.0,python;sql;spark,etl;数据仓库
R001,J007,25.0,50,100,0,100.0,0.0,python,pytorch;nlp;tensorflow
R001,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R001,J009,60.0,100,50,0,100.0,100.0,python;sql;数据分析,excel;可视化
R001,J010,25.0,100,50,0,100.0,100.0,python,linux;hadoop;shell
R001,J011,25.0,50,100,0,100.0,0.0,python,机器学习;nlp;深度学习
R001,J012,66.7,100,50,100,100.0,100.0,python;sql,excel
R002,J001,50.0,100,100,0,50.0,0.0,python;sql,excel;数据分析
R002,J002,75.0,100,100,0,58.3,0.0,sql;hadoop;java,spark
R002,J003,50.0,100,100,100,100.0,100.0,python;sql,linux;django
R002,J004,25.0,100,100,100,66.7,100.0,python,机器学习;tensorflow;深度学习
R002,J005,75.0,100,50,0,100.0,0.0,sql;java;spring boot,redis
R002,J006,40.0,100,100,0,100.0,100.0,python;sql,etl;数据仓库;spark
R002,J007,25.0,100,100,100,50.0,100.0,python,pytorch;nlp;tensorflow
R002,J008,0.0,100,100,0,91.7,100.0,,html;vue;javascript;css
R002,J009,40.0,100,100,0,83.3,0.0,python;sql,excel;可视化;数据分析
R002,J010,50.0,100,100,0,75.0,100.0,python;hadoop,linux;shell
R002,J011,25.0,100,100,0,58.3,100.0,python,机器学习;nlp;深度学习
R002,J012,66.7,100,100,0,41.7,100.0,python;sql,excel
R003,J001,75.0,100,100,0,100.0,100.0,python;sql;excel,数据分析
R003,J002,25.0,100,100,0,100.0,0.0,sql,hadoop;java;spark
R003,J003,50.0,100,50,0,100.0,100.0,python;sql,linux;django
R003,J004,25.0,50,100,0,100.0,0.0,python,机器学习;tensorflow;深度学习
R003,J005,25.0,100,0,100,100.0,100.0,sql,redis;java;spring boot
R003,J006,40.0,100,50,0,100.0,100.0,python;sql,etl;数据仓库;spark
R003,J007,25.0,50,100,0,100.0,0.0,python,pytorch;nlp;tensorflow
R003,J008,0.0,100,50,0,100.0,100.0,,html;vue;javascript;css
R003,J009,80.0,100,50,100,100.0,100.0,python;sql;可视化;excel,数据分析
R003,J010,25.0,100,50,0,100.0,100.0,python,linux;hadoop;shell
R003,J011,25.0,50,100,0,100.0,0.0,python,机器学习;nlp;深度学习
R003,J012,100.0,100,50,0,83.3,100.0,excel;sql;python,
R004,J001,0.0,50,100,0,75.0,0.0,,python;sql;数据分析;excel
R004,J002,25.0,50,100,0,87.5,0.0,java,sql;hadoop;spark
R004,J003,0.0,50,100,0,100.0,100.0,,python;sql;linux;django
R004,J004,0.0,0,100,0,100.0,0.0,,python;机器学习;tensorflow;深度学习
R004,J005,25.0,50,100,0,100.0,0.0,java,sql;redis;spring boot
R004,J006,0.0,50,100,0,100.0,100.0,,sql;etl;数据仓库;python;spark
R004,J007,0.0,0,100,0,75.0,0.0,,python;pytorch;nlp;tensorflow
R004,J008,75.0,50,100,100,100.0,100.0,html;javascript;css,vue
R004,J009,0.0,50,100,0,100.0,0.0,,sql;可视化;数据分析;excel;python
R004,J010,0.0,50,100,0,100.0,100.0,,python;linux;hadoop;shell
R004,J011,0.0,0,100,100,87.5,0.0,,python;机器学习;nlp;深度学习
R004,J012,0.0,50,100,0,62.5,100.0,,excel;sql;python
R005,J001,50.0,100,100,100,85.7,0.0,python;sql,excel;数据分析
